Release:
cg d1_food_normal                           ## еда с котлетой
cg d1_food_skolop                           ## еда со сколопендрой
cg d1_grasshopper                           ## Ульяна пугает Лену кузнечиком
cg d1_rena_sunset                           ## Рена
cg d1_sl_dinner                             ## Славя пуслила в столовую глаза в бок
cg d1_sl_dinner_0                           ## Славя пуслила в столовую глаза прямо
cg d1_uv                                    ## Юля склонилась над тобой
cg d1_uv_2                                  ## Юля склонилась над тобой(сзади автобус)
cg d2_2ch_beach                             ## Какие-то ноги
cg d2_lineup                                ## Линейка
cg d2_micu_lib                              ## Женя спит в библиотеке
cg d2_miku_piano                            ## Мику под пианино заметила вас
cg d2_miku_piano2                           ## Мику моет под пианино
cg d2_mirror                                ## Отражение Семёна
cg d2_mt_undressed                          ## Ольга переодевается
cg d2_mt_undressed_2                        ## Ольга вас заметила
cg d2_slavya_forest                         ## Славя раздевается в лесу
cg d2_sovenok                               ## Лена прижалась к вашей спине
cg d2_ussr_falling                          ## Ульяна падает на вас со сцены
cg d2_water_dan                             ## Алиса стянула трусы с вас
cg d3_disco                                 ## Дискотека
cg d3_dv_guitar                             ## Алиса играет на гитаре(пока ещё не видит)
cg d3_dv_scene_1                            ## Вы играете на гитаре(Алиса смотрит)
cg d3_dv_scene_2                            ## Алиса играет(смотрите вы)
cg d3_sl_bathhouse                          ## Славя в бане
cg d3_sl_dance                              ## Танцуете со Славей
cg d3_sl_evening                            ## Вы со Славей на берегу реки
cg d3_sl_library                            ## Вы упали на Славю в библиотеке
cg d3_soccer                                ## Ульяна ударила по мячу
cg d3_un_dance                              ## Танцуете с Леной
cg d3_un_forest                             ## Идёте вместе с Леной
cg d3_us_dinner                             ## Поймали Ульяну после пролитого компота
cg d3_us_library_1                          ## Ульяна слушает историю в библиотеке
cg d3_us_library_2                          ## Ульяна испугалась истории
cg d3_us_library_3                          ## Ульяна лежит на Семёне в библиотеке
cg d3_us_library_4                          ## Ульяна спит на Семёне в библиотеке
cg d3_ussr_catched                          ## Ульяна поймана в лесу(Насиловать будешь?)
cg d4_catac                                 ## Семён один в катакомбах
cg d4_catac_dv                              ## Семён с Алисой в катакомбах
cg d4_catac_sl                              ## Семён со Славей в катакомбах
cg d4_catac_un                              ## Семён с Леной в катакомбах
cg d4_catac_us                              ## Семён с Ульяной в катакомбах удивлённые
cg d4_catac_us_2                            ## Семён с Ульяной в катакомбах обычные
cg d4_dv_mt                                 ## Ольга ругает Алису
cg d4_el_wash                               ## Электроник моется
cg d4_mi_guitar                             ## Мику играет на гитаре
cg d4_mi_sing                               ## Мику поёт
cg d4_sh_sit                                ## Шурик грызёт палец
cg d4_sh_stay                               ## Шурик напал с арматурой
cg d4_us_cancer                             ## Ульяна мучает рака
cg d4_us_morning                            ## Ульяна спит на Семёне в библиотеке утро
cg d4_uv                                    ## Нашли Юлю в пещере видно
cg d4_uv_1                                  ## Нашли Юлю в пещере не видно
cg d5_boat                                  ## Везете Славю и Лену на остров
cg d5_boat_2                                ## Везете Алису на остров
cg d5_cake                                  ## Ульяна накидывается на торт
cg d5_clubs_robot                           ## Робот в клубе
cg d5_cs                                    ## Виола в больнице
cg d5_dv_argue                              ## Алиса в ярости
cg d5_dv_argue_2                            ## Алиса смущенна 
cg d5_dv_argue_3                            ## Алиса краснеет
cg d5_dv_island                             ## Семён с Алисой идут
cg d5_dv_us_wash                            ## Алиса моет Ульяну
cg d5_dv_us_wash_2                          ## Алиса моет Ульяну
cg d5_dv_us_wash_3                          ## Ульяна украла лифчик
cg d5_dv_us_wash_4                          ## Семён сбегает с одеждой
cg d5_mi                                    ## Мику
cg d5_sh_us                                 ## Ульяна украла моток проволки
cg d5_sl_sleep                              ## Славя спит на Семёне в медпункте
cg d5_sl_sleep_2                            ## Славя проснулась на Семёне в медпункте
cg d5_strawberry_race                       ## Семён гребёт от глубники-маньяков
cg d5_un_island                             ## Лена прячется за деревом
cg d5_un_sleep                              ## Лена и Семён спят
cg d5_us_ghost                              ## Ульяна с Семёном прячутся за кустами
cg d5_us_ghost_2                            ## Ульяна пугает людей у костра
cg d5_us_kiss                               ## Ульяна целует Семёна
cg d5_us_sit                                ## Ульяна спит на Семёне
cg d5_uv                                    ## Семён увидел Юлю, когда он в автобусе
cg d5_uv_2                                  ## Юля посыпает сахаром грибы
cg d6_dv_fight                              ## Лена ударила Алису
cg d6_dv_fight_2                            ## Лена ударила Алису плачет
cg d6_dv_fight_3                            ## Лена ударила Алису ушла
cg d6_dv_hentai                             ## Секс с Алисой
cg d6_dv_hentai_2                           ## Секс с Алисой
cg d6_pioneer                               ## Семён прячется за углом
cg d6_sl_forest                             ## Семён со Славей
cg d6_sl_forest_2                           ## Семён со Славей спина к спине
cg d6_sl_swim                               ## Славя плескается
cg d2_sl_swim                               ## Славя входит в воду
cg d6_sl_hentai_1                           ## Секс со Славей одета
cg d6_sl_hentai_2                           ## Секс со Славей раздета
cg d6_un_evening_1                          ## Лена с Семёном сидят на лавочке смотрят в небо
cg d6_un_evening_2                          ## Лена с Семёном сидят на лавочке смотрят в пол
cg d6_un_punch                              ## Лена удар Алису
cg d6_us_film                               ## Ульяна с Семёном смотрят фильм
cg d6_us_night_2                            ## Ульяна проснулась на Семёне 
cg d6_uv                                    ## Юля у Семёна за спиной
cg d6_uv_2                                  ## Юля лежит на коленках
cg d7_dv                                    ## Семён и Алиса у костра
cg d7_dv_2                                  ## Семён упал на Алису
cg d7_pioneers_leaving                      ## Линейка с Ульяной
cg d7_pioneers_leaving_without_us           ## Линейка без Ульяны
cg d7_sl_morning                            ## Семён в спальнике со Славей(спит)
cg d7_sl_morning_2                          ## Семён в спальнике со Славей(проснулась)
cg d7_un_hentai                             ## Секс с Леной
cg d7_un_hentai_3                           ## Секс с Леной
cg d7_un_suicide                            ## Лена вскрылась
cg d7_uv                                    ## Юля спит
cg day4_us_morning                          ## Ульяна спит в библиотеке на Семёне
cg epilogue_dv_2                            ## Концерт
cg epilogue_dv_3                            ## Встреча с Алисой после концерта
cg epilogue_mi_1                            ## Семён с Мику на пляже
cg epilogue_mi_2                            ## Мёртвая Славя
cg epilogue_mi_3                            ## Ульяна-зомби
cg epilogue_mi_4                            ## Алиса повешенная
